,best_chromosome,train_average,test_average,test_accuracy,,,,,,
1,6.216722948,4.166354167,3.632724911,48.78571429,,"[10,5,5,3]",,0.174516358,0.271272035,0.316893369
2,7.626628301,4.227535113,3.822366882,49.57142857,,,,0.140104062,0.266863876,0.299030225
3,7.626628301,4.339528843,4.472526263,58.35714286,,,,0.140104062,0.259153618,0.250554789
4,8.802131087,4.443314726,4.052970219,51.64285714,,,,0.12031383,0.252394359,0.279836877
5,8.802131087,4.687597975,5.53848175,64.92857143,,,,0.12031383,0.237791662,0.197881879
6,10.97767207,6.276289491,6.326430535,69.07142857,,,,0.095371959,0.172724657,0.171244685
7,11.62013677,7.084790087,12.68567098,87.64285714,,,,0.089869001,0.151594429,0.082019387
8,13.45877929,8.927872725,8.191540214,81.07142857,,,,0.077130912,0.118522665,0.129841282
9,20.14961337,10.18843744,9.949172028,85.08928571,,,,0.050880878,0.103128769,0.105735668
10,21.52386057,12.75475866,15.1777614,90.63076923,,,,0.047556246,0.081557477,0.068104806
