,train_average/gen,best_chromosome
0,4.720825206,5.364222501
1,4.385863962,5.364222501
2,4.44319837,5.637586687
3,4.401006941,5.69246259
4,4.442308927,6.202697162
5,4.413683084,7.06646127
6,4.408889419,7.06646127
7,4.484518877,7.06646127
8,4.467604278,7.06646127
9,4.434243725,7.06646127
