,train_pbest,train_gbest,test_pbest
0,0.24743623764326433,0.11564990844901092,0.24233819550412827
1,0.19872944618471386,0.11564990844901092,0.1539206605833859
2,0.1920973583543566,0.11564990844901092,0.11483753749149557
3,0.19259435013865467,0.11564990844901092,0.10968545771142586
4,0.19285216249511358,0.11564990844901092,0.10723285715723961
5,0.18604525498442284,0.11564990844901092,0.16846129391320577
6,0.17901215526540779,0.11564990844901092,0.23181367143080234
7,0.17726940960127155,0.11564990844901092,0.24755865732024432
8,0.1750422933866994,0.11564990844901092,0.26764257843656436
9,0.17511800517255677,0.11564990844901092,0.2663258420463282
