,train_average,gbest,validate_average
0,0.18744381427531748,0.08762281116846223,0.08751252626767007
1,0.08610863928449965,0.08415326461585089,0.08485867538365906
2,0.08572508402023726,0.08415326461585089,0.07129839343744941
3,0.08645174170784245,0.08415326461585089,0.06432708979449198
4,0.08492108578514505,0.08415326461585089,0.07808602945891312
5,0.08124719593678613,0.08123313787003003,0.11100923347557416
6,0.0808480218313784,0.0808407672274326,0.11506937770554561
7,0.0829381380898285,0.0808407672274326,0.09613943728627965
8,0.0847060779758879,0.0808407672274326,0.08022836353483868
9,0.08608457638175361,0.0808407672274326,0.06801238060528872
